,2024Q4
NVDA_common,0.06085536811251576
MSFT_common,0.046113407252734245
META_common,0.04229007982033715
GOOG_common,0.04143007520627866
ANET_common,0.04086990693565321
PGR_common,0.03980740394170803
AMZN_common,0.03922976310944552
AAPL_common,0.038606116111373705
NOW_common,0.03683968916648403
SPGI_common,0.034593092467815265
TSLA_common,0.03455482717225494
CRM_common,0.03393589548443994
AMD_common,0.032070690400238105
UBER_common,0.031601687098932275
PLTR_common,0.031520774748477844
NFLX_common,0.031070106757435885
LRCX_common,0.030402351452598078
MA_common,0.02988823233112384
FI_common,0.02851347025681447
ADP_common,0.027923718943584537
ETN_common,0.027243565401482962
ADBE_common,0.02720486852877522
BSX_common,0.02707005696167117
CB_common,0.026938860160714714
LLY_common,0.026882484435899676
NEE_common,0.02682893588657392
SYK_common,0.02658410628523816
BKNG_common,0.026485591774713706
PANW_common,0.026394577535883496
MRK_common,0.02625029625880144
